id,Summary,Status,Type,Priority,Milestone,Component
8813,"next_rev is slow, particularly in the direct-svnfs case",new,defect,highest,next-major-releases,version control
5488,Translation of Trac to Turkish/Türkçe [tr_TR],new,task,normal,translations,i18n
2611,"Problem with SVN bindings (SVN 1.3.0, Trac r2771)",new,defect,high,not applicable,version control
8417,CachedRepository support in TracMercurial,new,enhancement,high,plugin - mercurial,plugin/mercurial
12681,Restore the t.e.o specific customization after the switch to Jinja2,assigned,defect,high,1.4.4,project
5474,Translation of Trac to French/Français [fr_FR],new,task,normal,translations,i18n
8068,Mercurial bundle attachments should be viewable in readable representation.,new,enhancement,normal,plugin - mercurial,plugin/mercurial
10896,Request-URI Too Large when submitting a Bug report,new,defect,normal,not applicable,general
9619,"Side-by-side editing fails if Preview significantly longer than source; needs smart, vertical locking!",reopened,defect,low,1.0,wiki system
7186,Translation of Trac to Argentinian Spanish/español de Argentina [es_AR],new,task,normal,translations,i18n
10035,Possibility to apply rejected changes from log,new,enhancement,normal,plugin - spam-filter,plugin/spamfilter
12664,Index defined on spamfilter_bayes table not added during database upgrades,new,defect,normal,plugin - spam-filter,plugin/spamfilter
13031,Text captcha does not obey order of operations,new,defect,normal,plugin - spam-filter,plugin/spamfilter
13289,Improve spam filtering monitoring page,new,enhancement,normal,plugin - spam-filter,plugin/spamfilter
13321,SpamFilter plugin still using ITemplateStreamFilter,new,defect,normal,plugin - spam-filter,plugin/spamfilter
5475,Translation of Trac to German/Deutsch [de_DE],new,task,normal,translations,i18n
9040,Translation of Trac to Hebrew [he_HE],new,task,normal,translations,i18n
5471,Translation of Trac to Japanese/日本語 [ja_JP],new,task,normal,translations,i18n
13400,$wikipage.offset() is undefined wiki.js:63 from non-existent wiki page,assigned,defect,normal,1.4.4,wiki system
13409,repository_dir record for Subversion is wrong,assigned,defect,normal,1.5.4,version control
1726,"Links are displayed badly in Win/IE when page direction is changed to ""right-to-left""",new,defect,normal,translations,i18n
5489,Translation of Trac to Italian/Italiano [it_IT],new,task,normal,translations,i18n
5476,Translation of Trac to Portuguese/Português [pt_BR],new,task,normal,translations,i18n
8991,Translation of Trac to Armenian [hy_AM],new,task,normal,translations,i18n
5486,Translation of Trac to Hungarian/Magyar [hu_HU],new,task,normal,translations,i18n
7177,Translation of Trac to Norwegian/bokmål [nb_NO],new,task,normal,translations,i18n
5469,Translation of Trac to Spanish/Español [es_ES],new,task,normal,translations,i18n
12858,Upgrade to jQuery 3,assigned,enhancement,normal,1.5.4,general
12930,Spambayes dependency conflicts with dnspython,assigned,defect,normal,plugin - spam-filter,plugin/spamfilter
13190,Create release packages on AppVeyor,assigned,enhancement,normal,1.5.5,general
13191,"relative image size with ""em"" units",assigned,enhancement,normal,1.4.4,wiki system
